Title,Genre_id
Star Wars: Episode II - Attack of the Clones,8
The Bikeriders,3
The Bikeriders,10
Hit Man,20
Hit Man,9
The Wolf of Wall Street,22
The Wolf of Wall Street,9
The Wolf of Wall Street,3
Starship Troopers,20
Starship Troopers,13
Starship Troopers,2
Sleeping Dogs,3
Sleeping Dogs,1
Sleeping Dogs,14
Bottoms,9
Troy,13
Troy,10
The Batman,20
The Batman,3
The Batman,10
Blade Runner 2049,20
Blade Runner 2049,10
Blade Runner 2049,1
Talk to Me,11
Talk to Me,14
Dune,20
Dune,13
Dune,2
Deadpool,20
Deadpool,9
The Hunger Games,20
The Hunger Games,13
The Hunger Games,2
Dream Scenario,9
Dream Scenario,10
Dream Scenario,8
Alien,11
Alien,2
American Fiction,9
American Fiction,10
Humane,11
Humane,14
Mad Max,20
Mad Max,13
Mad Max,2
The 40 Year Old Virgin,9
The 40 Year Old Virgin,6
Kingdom of Heaven,20
Kingdom of Heaven,13
Kingdom of Heaven,10
Fight Club,10
The Green Mile,3
The Green Mile,10
The Green Mile,8
The Crow,20
The Crow,3
The Crow,10
Eileen,10
Eileen,1
Eileen,14
Mean Girls,9
Mean Girls,18
Star Wars: Episode IX - The Rise of Skywalker,20
Star Wars: Episode IX - The Rise of Skywalker,13
Star Wars: Episode IX - The Rise of Skywalker,8
Mission: Impossible - Dead Reckoning Part One,20
Mission: Impossible - Dead Reckoning Part One,13
Mission: Impossible - Dead Reckoning Part One,14
Cabrini,22
Cabrini,10
Mission: Impossible,20
Mission: Impossible,13
Mission: Impossible,14
Wicked Little Letters,9
Wicked Little Letters,3
Wicked Little Letters,10
Deadpool 2,20
Deadpool 2,13
Deadpool 2,9
Sixteen Candles,9
Sixteen Candles,6
Past Lives,10
Past Lives,6
Animal,20
Animal,3
Animal,10
Inglourious Basterds,13
Inglourious Basterds,10
Inglourious Basterds,7
Star Wars: Episode III - Revenge of the Sith,20
Star Wars: Episode III - Revenge of the Sith,13
Star Wars: Episode III - Revenge of the Sith,8
Star Wars: Episode VI - Return of the Jedi,20
Star Wars: Episode VI - Return of the Jedi,13
Star Wars: Episode VI - Return of the Jedi,8
Ricky Stanicky,9
Star Wars: Episode V - The Empire Strikes Back,20
Star Wars: Episode V - The Empire Strikes Back,13
Star Wars: Episode V - The Empire Strikes Back,8
Idiocracy,13
Idiocracy,9
Idiocracy,2
Pearl,10
Pearl,11
Pearl,14
Gisaengchung,10
Gisaengchung,14
John Wick: Chapter 4,20
John Wick: Chapter 4,3
John Wick: Chapter 4,14
Split,11
Split,14
Founders Day,9
Founders Day,11
Founders Day,1
Napoleon,20
Napoleon,13
Napoleon,22
Everything Everywhere All at Once,20
Everything Everywhere All at Once,13
Everything Everywhere All at Once,9
Van Helsing,20
Van Helsing,13
Van Helsing,8
The Lord of the Rings: The Two Towers,20
The Lord of the Rings: The Two Towers,13
The Lord of the Rings: The Two Towers,10
The Silence of the Lambs,3
The Silence of the Lambs,10
The Silence of the Lambs,14
Midsommar,10
Midsommar,11
Midsommar,1
Spider-Man: Across the Spider-Verse,17
Spider-Man: Across the Spider-Verse,20
Spider-Man: Across the Spider-Verse,13
Aquaman and the Lost Kingdom,20
Aquaman and the Lost Kingdom,13
Aquaman and the Lost Kingdom,8
Triangle of Sadness,9
Triangle of Sadness,10
Rogue One,20
Rogue One,13
Rogue One,2
American Beauty,10
Star Wars: Episode VII - The Force Awakens,20
Star Wars: Episode VII - The Force Awakens,13
Star Wars: Episode VII - The Force Awakens,2
Glass,10
Glass,11
Glass,2
Good Will Hunting,10
Good Will Hunting,6
Fifty Shades of Grey,10
Fifty Shades of Grey,6
Fifty Shades of Grey,14
Lisa Frankenstein,9
Lisa Frankenstein,11
Lisa Frankenstein,6
Bob Marley: One Love,22
Bob Marley: One Love,10
Bob Marley: One Love,21
The Long Game,10
The Long Game,5
The Long Game,4
10 Things I Hate About You,9
10 Things I Hate About You,10
10 Things I Hate About You,6
The Goonies,13
The Goonies,9
The Goonies,16
The Voyeurs,10
The Voyeurs,1
The Voyeurs,6
Jurassic World Dominion,20
Jurassic World Dominion,13
Jurassic World Dominion,2
The Dead Don't Die,9
The Dead Don't Die,8
The Dead Don't Die,11
Joker,3
Joker,10
Joker,14
Se7en,3
Se7en,10
Se7en,1
Spider-Man: No Way Home,20
Spider-Man: No Way Home,13
Spider-Man: No Way Home,8
The Outsiders,3
The Outsiders,10
Promising Young Woman,3
Promising Young Woman,10
Promising Young Woman,1
Avengers: Endgame,20
Avengers: Endgame,13
Avengers: Endgame,10
Mad Max 2,20
Mad Max 2,13
Mad Max 2,2
The Boys in the Boat,22
The Boys in the Boat,10
The Boys in the Boat,4
The Land That Time Forgot,13
The Land That Time Forgot,8
Aliens,20
Aliens,13
Aliens,2
Jurassic Park,20
Jurassic Park,13
Jurassic Park,2
Gone Girl,10
Gone Girl,1
Gone Girl,14
Watchmen,20
Watchmen,10
Watchmen,1
One Life,22
One Life,10
One Life,5
Heat,20
Heat,3
Heat,10
The Matrix Resurrections,20
The Matrix Resurrections,2
Masterminds,22
Masterminds,9
Masterminds,3
Le Cinquième Élément,20
Le Cinquième Élément,13
Le Cinquième Élément,2
Saving Private Ryan,10
Saving Private Ryan,7
Goodfellas,22
Goodfellas,3
Goodfellas,10
The Notebook,10
The Notebook,6
Léon,20
Léon,3
Léon,10
No Country for Old Men,3
No Country for Old Men,10
No Country for Old Men,14
Steel Magnolias,9
Steel Magnolias,10
Steel Magnolias,6
Ford v Ferrari,20
Ford v Ferrari,22
Ford v Ferrari,10
The Departed,3
The Departed,10
The Departed,14
Ordinary Angels,10
Whiplash,10
Whiplash,21
The Big Lebowski,9
The Big Lebowski,3
Apocalypse Now,10
Apocalypse Now,1
Apocalypse Now,7
The Usual Suspects,3
The Usual Suspects,10
The Usual Suspects,1
Mortal Kombat,20
Mortal Kombat,13
Mortal Kombat,8
Top Gun,20
Top Gun,10
Baby Driver,20
Baby Driver,3
Baby Driver,10
Spaceman,13
Spaceman,10
Spaceman,2
Braveheart,22
Braveheart,10
Braveheart,7
Requiem for a Dream,10
Hellboy,20
Hellboy,13
Hellboy,8
La La Land,9
La La Land,10
La La Land,21
Twilight,10
Twilight,8
Twilight,6
Dead Poets Society,9
Dead Poets Society,10
Star Wars: Episode VIII - The Last Jedi,20
Star Wars: Episode VIII - The Last Jedi,13
Star Wars: Episode VIII - The Last Jedi,8
Mean Girls,9
No Time to Die,20
No Time to Die,13
No Time to Die,14
Guardians of the Galaxy Vol. 3,20
Guardians of the Galaxy Vol. 3,13
Guardians of the Galaxy Vol. 3,9
Gummo,9
Gummo,10
Men,10
Men,8
Men,11
The Strangers,11
The Strangers,1
The Strangers,14
Ex Machina,10
Ex Machina,2
Ex Machina,14
The Maze Runner,20
The Maze Runner,1
The Maze Runner,2
You Should Have Left,11
You Should Have Left,1
You Should Have Left,14
Shrek,17
Shrek,13
Shrek,9
Cash Out,20
The Killing of a Sacred Deer,10
The Killing of a Sacred Deer,11
The Killing of a Sacred Deer,1
Nope,11
Nope,1
Nope,2
The Hateful Eight,3
The Hateful Eight,10
The Hateful Eight,1
The Devil Wears Prada,9
The Devil Wears Prada,10
The Princess Bride,13
The Princess Bride,9
The Princess Bride,16
Django Unchained,9
Django Unchained,10
Django Unchained,12
Hacksaw Ridge,22
Hacksaw Ridge,10
Hacksaw Ridge,5
The Creator,20
The Creator,13
The Creator,10
Pride & Prejudice,10
Pride & Prejudice,6
Babylon,9
Babylon,10
Babylon,5
Farming,10
Pretty in Pink,9
Pretty in Pink,10
Pretty in Pink,6
X-Men Origins: Wolverine,20
X-Men Origins: Wolverine,2
John Wick,20
John Wick,3
John Wick,14
Kill Bill: Vol. 1,20
Kill Bill: Vol. 1,3
Kill Bill: Vol. 1,14
28 Days Later...,10
28 Days Later...,11
28 Days Later...,2
Pirates of the Caribbean: The Curse of the Black Pearl,20
Pirates of the Caribbean: The Curse of the Black Pearl,13
Pirates of the Caribbean: The Curse of the Black Pearl,8
Mandy,20
Mandy,8
Mandy,11
A Quiet Place,10
A Quiet Place,11
A Quiet Place,2
Five Nights at Freddy's,11
Five Nights at Freddy's,1
Five Nights at Freddy's,14
Back to the Future,13
Back to the Future,9
Back to the Future,2
Expend4bles,20
Expend4bles,13
Expend4bles,14
Star Trek,20
Star Trek,13
Star Trek,2
The Dark Knight Rises,20
The Dark Knight Rises,10
The Dark Knight Rises,14
Anna,20
Anna,14
The Prestige,10
The Prestige,1
The Prestige,2
Get Out,11
Get Out,1
Get Out,14
Ferrari,22
Ferrari,10
Ferrari,5
X-Men,20
X-Men,13
X-Men,2
Call Me by Your Name,10
Call Me by Your Name,6
Little Women,10
Little Women,6
Reptile,3
Reptile,10
Reptile,1
Hereditary,10
Hereditary,11
Hereditary,1
The American Society of Magical Negroes,9
The American Society of Magical Negroes,8
It,8
It,11
The Dreamers,10
The Dreamers,6
Logan,20
Logan,10
Logan,2
The Super Mario Bros. Movie,17
The Super Mario Bros. Movie,13
The Super Mario Bros. Movie,9
12 Angry Men,3
12 Angry Men,10
"Crazy, Stupid, Love.",9
"Crazy, Stupid, Love.",10
"Crazy, Stupid, Love.",6
Dazed and Confused,9
The Magnificent Seven,20
The Magnificent Seven,13
The Magnificent Seven,10
L.A. Confidential,3
L.A. Confidential,10
L.A. Confidential,1
The Menu,9
The Menu,11
The Menu,14
Rush,20
Rush,22
Rush,10
The Covenant,20
The Covenant,10
The Covenant,14
Drive,20
Drive,10
Avatar: The Way of Water,20
Avatar: The Way of Water,13
Avatar: The Way of Water,8
Amadeus,22
Amadeus,10
Amadeus,21
The Terminator,20
The Terminator,13
The Terminator,2
Beneath the Planet of the Apes,20
Beneath the Planet of the Apes,13
Beneath the Planet of the Apes,2
Boogie Nights,10
Dungeons & Dragons: Honor Among Thieves,20
Dungeons & Dragons: Honor Among Thieves,13
Dungeons & Dragons: Honor Among Thieves,9
The Blue Lagoon,13
The Blue Lagoon,10
The Blue Lagoon,6
Bridge to Terabithia,10
Bridge to Terabithia,16
Bridge to Terabithia,8
Prisoners,3
Prisoners,10
Prisoners,1
Sicario,20
Sicario,3
Sicario,10
American Psycho,3
American Psycho,10
American Psycho,11
The Gray Man,20
The Gray Man,14
Fall,20
Fall,14
From Dusk Till Dawn,20
From Dusk Till Dawn,3
From Dusk Till Dawn,11
Cinderella,9
Cinderella,16
Cinderella,8
The Godfather Part II,3
The Godfather Part II,10
Prometheus,13
Prometheus,1
Prometheus,2
Free Guy,20
Free Guy,13
Free Guy,9
Eternal Sunshine of the Spotless Mind,10
Eternal Sunshine of the Spotless Mind,6
Eternal Sunshine of the Spotless Mind,2
The Dry,3
The Dry,10
The Dry,1
One Day,10
One Day,6
Love & Other Drugs,9
Love & Other Drugs,10
Love & Other Drugs,6
"Girl, Interrupted",22
"Girl, Interrupted",10
Godzilla vs. Kong,20
Godzilla vs. Kong,2
Godzilla vs. Kong,14
Asteroid City,9
Asteroid City,10
Asteroid City,6
The Lion King,17
The Lion King,13
The Lion King,10
Oldeuboi,20
Oldeuboi,10
Oldeuboi,1
Don't Worry Darling,10
Don't Worry Darling,1
Don't Worry Darling,14
Lift,20
Lift,9
Lift,3
Beetlejuice,9
Beetlejuice,8
Pitch Perfect,9
Pitch Perfect,21
Pitch Perfect,6
Night Swim,11
Night Swim,14
Cars,17
Cars,13
Cars,9
Arrival,10
Arrival,1
Arrival,2
Shutter Island,10
Shutter Island,1
Shutter Island,14
Tombstone,22
Tombstone,10
Tombstone,5
Upgraded,9
Upgraded,6
Kimitachi wa dô ikiru ka,17
Kimitachi wa dô ikiru ka,13
Kimitachi wa dô ikiru ka,10
Ready Player One,20
Ready Player One,13
Ready Player One,2
Moonfall,20
Moonfall,13
Moonfall,2
Gran Turismo,20
Gran Turismo,13
Gran Turismo,10
Fast X,20
Fast X,13
Fast X,3
Sen to Chihiro no kamikakushi,17
Sen to Chihiro no kamikakushi,13
Sen to Chihiro no kamikakushi,16
300,20
300,10
Spider-Man,20
Spider-Man,13
Spider-Man,2
Blade Runner,20
Blade Runner,10
Blade Runner,2
The Lobster,10
The Lobster,6
The Lobster,2
Red Eye,14
Romeo + Juliet,10
Romeo + Juliet,6
Transformers: Rise of the Beasts,20
Transformers: Rise of the Beasts,13
Transformers: Rise of the Beasts,2
The Flash,20
The Flash,13
The Flash,8
Eyes Wide Shut,10
Eyes Wide Shut,1
Eyes Wide Shut,14
Stand by Me,13
Stand by Me,9
Stand by Me,10
The Killer,20
The Killer,13
The Killer,3
Trolls Band Together,17
Trolls Band Together,13
Trolls Band Together,9
Memento,1
Memento,14
La passion de Dodin Bouffant,10
La passion de Dodin Bouffant,5
La passion de Dodin Bouffant,6
The Help,10
Cidade de Deus,3
Cidade de Deus,10
May December,10
Snatch,9
Snatch,3
The Suicide Squad,20
The Suicide Squad,13
The Suicide Squad,9
Happy Gilmore,9
Happy Gilmore,4
Indiana Jones and the Dial of Destiny,20
Indiana Jones and the Dial of Destiny,13
Indiana Jones and the Dial of Destiny,2
Bram Stoker's Dracula,8
Bram Stoker's Dracula,11
Bram Stoker's Dracula,6
Transformers,20
Transformers,13
Transformers,2
Once Upon a Time in America,3
Once Upon a Time in America,10
La sociedad de la nieve,13
La sociedad de la nieve,22
La sociedad de la nieve,10
Scarface,3
Scarface,10
Priscilla,22
Priscilla,10
Priscilla,21
Hidden Figures,22
Hidden Figures,10
Hidden Figures,5
The Great Gatsby,10
The Great Gatsby,6
Drive-Away Dolls,20
Drive-Away Dolls,9
Drive-Away Dolls,14
The Passion of the Christ,10
Terminator 2: Judgment Day,20
Terminator 2: Judgment Day,13
Terminator 2: Judgment Day,2
The Little Things,3
The Little Things,10
The Little Things,1
The Equalizer 2,20
The Equalizer 2,3
The Equalizer 2,14
Jaws,13
Jaws,1
Jaws,14
The Nice Guys,20
The Nice Guys,9
The Nice Guys,3
The Lost Boys,9
The Lost Boys,11
The Lighthouse,10
The Lighthouse,8
The Lighthouse,11
Thanksgiving,11
Thanksgiving,1
Thanksgiving,14
The Age of Adaline,10
The Age of Adaline,8
The Age of Adaline,6
Beverly Hills Cop,20
Beverly Hills Cop,9
Beverly Hills Cop,3
Bones and All,10
Bones and All,11
Bones and All,6
Doctor Strange in the Multiverse of Madness,20
Doctor Strange in the Multiverse of Madness,13
Doctor Strange in the Multiverse of Madness,8
She's Out of My League,9
She's Out of My League,6
The Shining,10
The Shining,11
The Pianist,22
The Pianist,10
The Pianist,21
After,10
After,6
Pretty Woman,9
Pretty Woman,6
Smile,11
Smile,1
Smile,14
Die Hard,20
Die Hard,14
The Martian,13
The Martian,10
The Martian,2
The Truman Show,9
The Truman Show,10
Love Actually,9
Love Actually,10
Love Actually,6
Brokeback Mountain,10
Brokeback Mountain,6
Saw X,11
Saw X,1
Saw X,14
American Pie,9
Guardians of the Galaxy,20
Guardians of the Galaxy,13
Guardians of the Galaxy,9
Taxi Driver,3
Taxi Driver,10
Unfaithful,10
Unfaithful,6
Unfaithful,14
Margin Call,10
Margin Call,14
X: First Class,20
X: First Class,2
Empire of the Sun,10
Empire of the Sun,7
Meg 2: The Trench,20
Meg 2: The Trench,13
Meg 2: The Trench,11
The Big Short,22
The Big Short,9
The Big Short,10
Divergent,20
Divergent,13
Divergent,1
The Marvels,20
The Marvels,13
The Marvels,8
Grown Ups,9
All Good Things,3
All Good Things,10
All Good Things,1
Baywatch,20
Baywatch,9
Baywatch,3
Thor: Love and Thunder,20
Thor: Love and Thunder,13
Thor: Love and Thunder,9
Godzilla,20
Godzilla,13
Godzilla,2
The Little Mermaid,13
The Little Mermaid,16
The Little Mermaid,8
Black Swan,10
Black Swan,14
The King's Man,20
The King's Man,13
The King's Man,14
The Northman,20
The Northman,13
The Northman,10
The Breakfast Club,9
The Breakfast Club,10
Highlander,20
Highlander,13
Highlander,8
The Sixth Sense,10
The Sixth Sense,1
The Sixth Sense,14
Harry Potter and the Goblet of Fire,13
Harry Potter and the Goblet of Fire,16
Harry Potter and the Goblet of Fire,8
Batman Begins,20
Batman Begins,3
Batman Begins,10
Fair Play,10
Fair Play,1
Fair Play,14
Mulholland Dr.,10
Mulholland Dr.,1
Mulholland Dr.,14
A Clockwork Orange,3
A Clockwork Orange,2
X-Men: Days of Future Past,20
X-Men: Days of Future Past,13
X-Men: Days of Future Past,2
Airplane!,9
American History X,3
American History X,10
The Greatest Showman,22
The Greatest Showman,10
The Greatest Showman,18
Knox Goes Away,14
Almost Famous,13
Almost Famous,9
Almost Famous,10
One Flew Over the Cuckoo's Nest,10
Ah-ga-ssi,10
Ah-ga-ssi,6
Ah-ga-ssi,14
Nymphomaniac: Vol. I,10
Jumanji: Welcome to the Jungle,20
Jumanji: Welcome to the Jungle,13
Jumanji: Welcome to the Jungle,9
The Running Man,20
The Running Man,2
The Running Man,14
The Last Duel,20
The Last Duel,10
The Last Duel,5
The Fallout,10
Solo: A Star Wars Story,20
Solo: A Star Wars Story,13
Solo: A Star Wars Story,2
Green Book,22
Green Book,9
Green Book,10
Avengers: Infinity War,20
Avengers: Infinity War,13
Avengers: Infinity War,2
Sound of Freedom,22
Sound of Freedom,3
Sound of Freedom,10
Donnie Darko,10
Donnie Darko,1
Donnie Darko,2
North by Northwest,20
North by Northwest,13
North by Northwest,1
Lolita,10
Lolita,6
A Beautiful Mind,22
A Beautiful Mind,10
A Beautiful Mind,1
Glass Onion,9
Glass Onion,3
Glass Onion,10
Mad Max Beyond Thunderdome,20
Mad Max Beyond Thunderdome,13
Mad Max Beyond Thunderdome,2
Kingsman: The Secret Service,20
Kingsman: The Secret Service,13
Kingsman: The Secret Service,9
Kung Fu Panda,17
Kung Fu Panda,20
Kung Fu Panda,13
Bound by Honor,3
Bound by Honor,10
Knives Out,9
Knives Out,3
Knives Out,10
Ocean's Eight,20
Ocean's Eight,9
Ocean's Eight,3
Incendies,10
Incendies,1
Incendies,7
Kaibutsu,10
Kaibutsu,14
The VVitch: A New-England Folktale,10
The VVitch: A New-England Folktale,8
The VVitch: A New-England Folktale,11
Army of the Dead,20
Army of the Dead,3
Army of the Dead,10
Inside Out,17
Inside Out,13
Inside Out,9
"Il buono, il brutto, il cattivo",13
"Il buono, il brutto, il cattivo",10
"Il buono, il brutto, il cattivo",12
Wrath of Man,20
Wrath of Man,3
Wrath of Man,14
Pearl Harbor,20
Pearl Harbor,10
Pearl Harbor,6
The Conjuring,11
The Conjuring,1
The Conjuring,14
Totally Killer,9
Totally Killer,11
2001: A Space Odyssey,13
2001: A Space Odyssey,2
Superbad,9
The Hangover,9
Harry Potter and the Deathly Hallows - Part 2,13
Harry Potter and the Deathly Hallows - Part 2,16
Harry Potter and the Deathly Hallows - Part 2,8
Asphalt City,10
Asphalt City,14
Ratatouille,17
Ratatouille,13
Ratatouille,9
Lady Bird,9
Lady Bird,10
Tenet,20
Tenet,2
Tenet,14
A League of Their Own,9
A League of Their Own,10
A League of Their Own,4
Weird Science,9
Weird Science,6
Weird Science,2
Lost in Translation,9
Lost in Translation,10
X-Men: The Last Stand,20
X-Men: The Last Stand,13
X-Men: The Last Stand,2
Moana,17
Moana,13
Moana,9
The Family Plan,20
The Family Plan,9
Ferris Bueller's Day Off,9
Jumanji,13
Jumanji,9
Jumanji,16
The Last Voyage of the Demeter,8
The Last Voyage of the Demeter,11
Alien: Covenant,11
Alien: Covenant,2
Alien: Covenant,14
BlackBerry,22
BlackBerry,9
BlackBerry,10
The Lion King,17
The Lion King,13
The Lion King,10
Miss Peregrine's Home for Peculiar Children,13
Miss Peregrine's Home for Peculiar Children,10
Miss Peregrine's Home for Peculiar Children,16
Emma.,9
Emma.,10
Emma.,6
Scream VI,11
Scream VI,1
Scream VI,14
(500) Days of Summer,9
(500) Days of Summer,10
(500) Days of Summer,6
Iron Man,20
Iron Man,13
Iron Man,2
Sting,11
Sting,2
Sting,14
Les Misérables,10
Les Misérables,18
Les Misérables,6
Men in Black,20
Men in Black,13
Men in Black,9
Suicide Squad,20
Suicide Squad,13
Suicide Squad,8
X-Men: Apocalypse,20
X-Men: Apocalypse,13
X-Men: Apocalypse,2
Thelma,20
Thelma,9
RoboCop,20
RoboCop,3
RoboCop,2
The Hobbit: An Unexpected Journey,13
The Hobbit: An Unexpected Journey,8
We're the Millers,9
We're the Millers,3
Strays,13
Strays,9
Captain America: The First Avenger,20
Captain America: The First Avenger,13
Captain America: The First Avenger,2
Underworld,20
Underworld,8
Underworld,14
Avatar,20
Avatar,13
Avatar,8
The Girl Next Door,9
The Girl Next Door,10
The Girl Next Door,6
Ocean's Eleven,3
Ocean's Eleven,14
Apocalypto,20
Apocalypto,13
Apocalypto,10
The Virgin Suicides,10
The Virgin Suicides,6
Pirates of the Caribbean: Dead Men Tell No Tales,20
Pirates of the Caribbean: Dead Men Tell No Tales,13
Pirates of the Caribbean: Dead Men Tell No Tales,8
La vie d'Adèle,10
La vie d'Adèle,6
Point Break,20
Point Break,3
Point Break,14
Les trois mousquetaires : D'Artagnan,20
Les trois mousquetaires : D'Artagnan,13
Les trois mousquetaires : D'Artagnan,5
Three Amigos!,9
Three Amigos!,12
Harry Potter and the Prisoner of Azkaban,13
Harry Potter and the Prisoner of Azkaban,16
Harry Potter and the Prisoner of Azkaban,8
Three Thousand Years of Longing,10
Three Thousand Years of Longing,8
Three Thousand Years of Longing,6
The Revenant,20
The Revenant,13
The Revenant,10
Next Goal Wins,9
Next Goal Wins,10
Next Goal Wins,4
Don't Look Up,9
Don't Look Up,10
